age,loan_amt,is_idp,loan_amt_left,occp,family_income,educ,hh_size,grad_age
42,40000,0,13000,1,282000,13,4,25
42,40000,0,13000,1,282000,13,4,25
21,10000,1,10000,2,12000,9,2,20
21,10000,1,10000,2,12000,9,2,20
21,10000,1,10000,2,20000,9,2,20
21,10000,1,10000,2,24000,9,2,20
21,10000,1,10000,2,17000,9,2,20
24,3500,0,1400,1,38000,12,2,22
24,3500,0,1500,1,38000,12,2,22
24,3500,0,1500,1,38000,12,2,22
24,3500,0,1500,1,38000,12,2,22
24,3500,0,1500,1,38000,12,2,22
27,4000,1,3200,3,26000,8,6,21
27,4000,1,3100,3,26000,8,6,21
27,4000,1,3100,3,26000,8,6,21
27,4000,1,3100,3,26000,8,6,21
27,4000,1,3100,3,26000,8,6,21
33,150000,1,209000,1,57000,14,2,28
33,150000,1,209000,1,57000,14,2,28
33,150000,1,209000,1,57000,14,2,28
33,150000,1,209000,1,57000,14,2,28
33,150000,1,209000,1,57000,14,2,28
51,30000,1,30000,6,42000,12,1,33
51,30000,1,30000,6,42000,12,1,33
51,30000,1,30000,6,42000,12,1,33
51,30000,1,30000,6,42000,12,1,33
51,30000,1,30000,6,42000,12,1,33
31,9000,1,2000,1,39000,9,2,27
31,9000,1,2000,1,39000,9,2,27
31,9000,1,2000,1,39000,9,2,27
31,9000,1,2000,1,39000,9,2,27
31,9000,1,2000,1,39000,9,2,27
32,10000,0,6600,1,55000,12,3,29
32,10000,0,6600,1,55000,12,3,29
32,10000,0,6600,1,55000,12,3,29
32,10000,0,6600,1,55000,12,3,29
32,10000,0,6600,1,55000,12,3,29
35,35000,1,29000,1,15000,9,3,22
35,35000,1,29000,1,15000,9,3,22
35,35000,1,29000,1,15000,9,3,22
35,35000,1,29000,1,15000,9,3,22
35,35000,1,29000,1,15000,9,3,22
48,60000,0,35000,0,24000,12,3,23
48,60000,0,35000,0,21000,12,3,23
48,60000,0,35000,0,17000,12,3,23
48,60000,0,35000,0,18000,12,3,23
48,60000,0,35000,0,20000,12,3,23
47,6200,0,1800,1,63000,11,3,40
47,6600,0,1800,1,62000,11,3,40
47,6200,0,1800,1,51000,11,3,40
47,6200,0,1800,1,64000,11,3,40
47,6600,0,1800,1,63000,11,3,40
39,21000,0,11000,1,316000,12,3,24
39,21000,0,10000,1,142000,12,3,24
39,21000,0,11000,1,219000,12,3,24
39,21000,0,10000,1,362000,12,3,24
39,21000,0,10000,1,216000,12,3,24
25,2500,0,500,4,42000,9,2,19
25,2500,0,510,4,42000,9,2,19
25,2500,0,500,4,42000,9,2,19
25,2500,0,500,4,42000,9,2,19
25,2500,0,500,4,42000,9,2,19
36,160000,0,100000,2,140000,13,4,35
36,160000,0,100000,2,140000,13,4,35
36,160000,0,100000,2,140000,13,4,35
36,160000,0,100000,2,140000,13,4,35
36,160000,0,100000,2,140000,13,4,35
43,30000,1,22000,1,61000,12,2,23
43,30000,1,22000,1,62000,12,2,23
43,30000,1,21000,1,61000,12,2,23
43,30000,1,21000,1,61000,12,2,23
43,30000,1,21000,1,61000,12,2,23
33,85000,0,20000,1,148000,14,2,28
33,85000,0,20000,1,148000,14,2,28
33,85000,0,20000,1,148000,14,2,28
33,85000,0,20000,1,148000,14,2,28
33,85000,0,20000,1,148000,14,2,28
42,22000,1,26000,0,0,12,3,27
42,22000,1,26000,0,0,12,3,27
42,22000,1,26000,0,0,12,3,27
42,22000,1,26000,0,0,12,3,27
42,22000,1,26000,0,0,12,3,27
40,10000,1,8800,5,50000,8,3,23
40,10000,1,5700,5,50000,8,3,23
40,10000,1,5200,5,50000,8,3,23
40,10000,1,6200,5,50000,8,3,23
40,10000,1,6600,5,50000,8,3,23
41,100000,1,70000,1,45000,13,2,39
41,100000,1,70000,1,34000,13,2,39
41,100000,1,70000,1,36000,13,2,39
41,100000,1,70000,1,38000,13,2,39
41,100000,1,70000,1,23000,13,2,39
23,27000,0,15000,2,66000,12,1,21
23,28000,0,15000,2,66000,12,1,21
23,27000,0,15000,2,66000,12,1,21
23,28000,0,15000,2,66000,12,1,21
23,28000,0,15000,2,66000,12,1,21
56,20000,0,4000,2,0,12,3,39
56,20000,0,4000,2,0,12,3,39
56,20000,0,4000,2,0,12,3,39
56,20000,0,4000,2,0,12,3,39
56,20000,0,4000,2,0,12,3,39
31,20000,0,13000,4,100000,12,2,23
31,20000,0,13000,4,100000,12,2,23
31,20000,0,13000,4,100000,12,2,23
31,20000,0,13000,4,100000,12,2,23
31,20000,0,13000,4,100000,12,2,23
29,11000,0,9500,4,61000,10,2,30
29,11000,0,9500,4,61000,10,2,30
29,11000,0,9500,4,61000,10,2,30
29,11000,0,9500,4,61000,10,2,30
29,11000,0,9500,4,61000,10,2,30
27,20000,0,6000,1,32000,12,1,18
27,20000,0,6000,1,31000,12,1,18
27,20000,0,6000,1,28000,12,1,18
27,20000,0,6000,1,40000,12,1,18
27,20000,0,6000,1,44000,12,1,18
38,6000,0,2500,4,35000,11,4,30
38,6000,0,2500,4,35000,11,4,30
38,6000,0,2500,4,31000,11,4,30
38,6000,0,2500,4,34000,11,4,30
38,6000,0,2500,4,34000,11,4,30
40,40000,0,20000,1,78000,10,2,35
40,40000,0,20000,1,78000,10,2,35
40,40000,0,20000,1,78000,10,2,35
40,40000,0,20000,1,78000,10,2,35
40,40000,0,20000,1,78000,10,2,35
66,132000,1,110000,1,57000,14,1,62
66,132000,1,110000,1,57000,14,1,62
66,132000,1,110000,1,57000,14,1,62
66,132000,1,110000,1,57000,14,1,62
66,132000,1,110000,1,57000,14,1,62
32,32000,1,32000,3,25000,12,1,31
32,32000,1,32000,3,25000,12,1,31
32,32000,1,32000,3,24000,12,1,31
32,32000,1,32000,3,24000,12,1,31
32,32000,1,32000,3,25000,12,1,31
27,90000,0,81000,2,140000,14,4,24
27,90000,0,81000,2,140000,14,4,24
27,90000,0,81000,2,140000,14,4,24
27,90000,0,81000,2,140000,14,4,24
27,90000,0,81000,2,140000,14,4,24
43,17000,1,3400,1,55000,12,2,24
43,17000,1,3400,1,55000,12,2,24
43,17000,1,3400,1,55000,12,2,24
43,17000,1,3400,1,55000,12,2,24
43,17000,1,3400,1,55000,12,2,24
27,20000,1,9000,1,17000,10,1,23
27,12000,1,9000,1,17000,10,1,23
27,12000,1,9000,1,21000,10,1,23
27,21000,1,9000,1,17000,10,1,23
27,11000,1,9000,1,14000,10,1,23
48,17000,0,3000,4,25000,11,2,42
48,17000,0,3000,4,25000,11,2,42
48,17000,0,3000,4,25000,11,2,42
48,17000,0,3000,4,25000,11,2,42
48,17000,0,3000,4,25000,11,2,42
27,8000,1,8000,3,27000,12,2,21
27,8000,1,8000,3,27000,12,2,21
27,8000,1,8000,3,27000,12,2,21
27,8000,1,8000,3,27000,12,2,21
27,8000,1,8000,3,27000,12,2,21
